Year,Insects,Birds,Bats,Plant
103,1000000,803.0751801653785,90.05010674189194,473576.9299692338
104,1000000,5,154.12857565098506,457733.4902689057
105,2064531.7390430965,17.56578498764189,160.37588989526984,452943.52148032055
106,1769661.4642721526,53.94908937027491,7.1136887602284276,443281.06903930387
107,1000000,32.6087080609459,12.959805987741554,448064.56270448264
108,1000000,7.200187578592885,18.071248208666987,466173.83856594784
109,1399252.4856503583,16.39306259171703,7.542637473554491,460860.29188600986
110,1000000,5,9.377601946684058,464046.2658845833
111,2059082.2699212995,11.475000000000001,9.955425465126465,457370.89418606856
112,3565719.5640367377,7.091263124999995,9.999357552624504,440377.24084734643
113,9124233.091572655,13.555745878902034,9.999993534665121,398583.1678450253
114,13929889.332046675,25.64923528698824,10.492164099165127,260128.28438536392
115,1000000,41.30200958320545,12.92066732121975,155702.97380234505
116,1000000,5,9.184707210689343,455033.3708731239
117,2039451.1001226269,12.003594736851365,9.926041541209,455228.9069056324
118,3311010.7563036405,5.774556874195856,9.998718899903043,446787.3301799618
119,8805369.667168733,12.519784561921544,9.999987026518502,404206.32462066447
120,14273052.139656473,24.58115046345214,10.316380107014622,275871.27805050183
121,1000000,41.88503477452871,12.897290008333563,142205.7623561119
122,1000000,5,9.197938250236774,468961.1693120351
123,2042324.9296713732,12.030786897329875,9.928292380509475,465589.59130772727
124,3312125.8688952657,5.702908118852523,9.998773867518487,440002.9218311386
125,8834493.136226486,12.46647177144304,9.9999875898385,406179.77023665904
126,14467487.819651745,24.6128092258266,10.332707484515533,282710.59448489756
127,1000000,42.35455975139067,12.975132335252823,140147.03972244344
128,1000000,5,9.153461494538103,465841.8260310168
129,2042075.7633454604,12.077597967213102,9.920588498263644,465370.985347112
130,3284745.7900339873,5.578668183968856,9.998581572508442,424135.4326016374
131,8773635.851564508,12.332139963109324,9.999985616543366,402267.4039890674
132,14315820.644221304,24.43898609814958,10.298525687438412,280788.4230021741
133,1000000,41.955338049012454,12.897116456504829,148565.47202027135
134,1000000,5,9.19803607207249,468069.1757002006
135,2042436.5523292432,12.035368236394104,9.92830889269273,465032.7365559169
136,3313134.7579164556,5.690799024983365,9.9987742670551,442452.7179656946
137,8849973.287916305,12.458240872250016,9.999987593930847,409284.979709379
138,14281498.87500165,24.636628407232934,10.341363416356453,271225.28945391043
139,1000000,41.94650917946309,12.920321998788554,151798.59884765337
140,1000000,5,9.184903442903657,462488.1179053583
141,2042432.9799241023,12.03783091197515,9.926075177087396,467151.352030935
142,3307036.0405320646,5.684285350076932,9.99871972870605,435311.50937007496
143,8817300.520490848,12.445404387225777,9.999987035016696,403920.50500376325
144,14222107.059480665,24.572098316394673,10.323075571904305,273303.97276116343
145,1000000,41.781279789210416,12.885601340045111,133800.58054347953
146,1000000,5,9.204513199127106,460038.79519878014
147,2041725.632127955,12.020403389467793,9.929398006205334,468811.86195600237
148,3315966.6529337214,5.730312877997415,9.998800500550802,445018.3790638244
149,8833788.116663592,12.492632579124901,9.999987862564414,403128.3689890328
150,14336017.733166657,24.62415282083917,10.332312911091794,277471.4380313611
